ID,x,y,year,log_area,material,log_dist_wetland,submerged_veg,shore_veg,reed,logS,little_grebe,black-winged_stilt,little-ringed_plover,moorhen,mallard,common_shelduck,common_coot
1.,691290.7,4.208913e6,1.,-1.0498221244986778,1.,7.4645098346365275,1.,0.,0.,7.409407144270287,1,1,0,0,0,0,0
2.,691517.,4.209051e6,1.,0.6821367880398931,1.,7.602401335665818,1.,0.,0.,7.42160400159662,1,1,1,0,0,1,0
3.,691678.7,4.208981e6,1.,-2.0024805005437076,1.,7.666690200080086,0.,0.,0.,7.409792728430842,1,1,0,0,0,0,0
4.,693992.,4.212219e6,1.,-0.941608539858445,1.,8.346642090221199,0.,0.,0.,7.372164017285647,0,0,0,1,0,0,0
5.,694069.,4.212167e6,1.,-3.506557897319982,0.,8.331345424845724,0.,0.,0.,7.365909581308348,0,0,0,0,0,0,0
6.,694044.,4.212346e6,1.,-0.9263410677276565,1.,8.361474616416817,1.,0.,0.,7.381782825880462,0,0,0,0,0,0,0
7.,693973.,4.21294e6,1.,-2.120263536200091,0.,8.518791912779934,0.,0.,0.,7.407566668485041,0,0,0,0,0,0,0
8.,693714.,4.213358e6,1.,-1.8534221296201618,0.,8.607947554684701,0.,0.,0.,7.346292407272911,0,0,0,0,0,0,0
9.,693839.,4.213366e6,1.,-0.18440372299827917,0.,8.628734566149145,1.,0.,0.,7.370581568736387,0,0,0,0,0,0,0
11.,694183.7,4.213175e6,1.,0.4824261492442928,1.,8.534246945982066,0.,1.,0.,7.461285601263681,0,0,0,0,0,0,0
12.,694373.8,4.213187e6,1.,-0.5143050031255155,0.,8.508152446764088,0.,1.,0.,7.4803521104541915,0,0,0,0,0,0,0
13.,694356.1,4.213272e6,1.,-1.9473261511131994,0.,8.522578663692576,0.,0.,0.,7.475330158681115,0,0,0,0,0,0,0
14.,694211.1,4.213407e6,1.,0.9162907318741551,0.,8.561401446080557,0.,1.,0.,7.4428741435657075,0,1,1,0,0,0,0
16.,694749.1,4.21344e6,1.,-0.2493027388000074,1.,8.492900498847193,1.,1.,0.,7.450845984070746,0,0,0,0,0,0,0
17.,695052.,4.213739e6,1.,0.10436001532424286,0.,8.498418036089904,0.,0.,0.,7.36488521105459,0,0,0,0,0,0,0
18.,687278.2,4.201355e6,1.,0.45107561936021673,1.,8.763271714012943,1.,0.,0.,6.403007352761391,0,0,0,0,1,0,0
19.,687044.4,4.201078e6,1.,0.8372475245337022,0.,8.811503250158239,0.,0.,0.,6.487459648182398,1,1,0,0,0,1,0
20.,687138.1,4.200956e6,1.,-0.9223465312695238,1.,8.826441041782578,0.,1.,0.,6.479189933298885,1,0,0,0,1,0,0
21.,687047.6,4.200902e6,1.,-1.2447323007992348,1.,8.836664586357426,1.,1.,0.,6.475190248083272,0,0,0,0,0,0,0
22.,685944.5,4.199763e6,1.,-0.6966452918231139,0.,9.018937706446035,0.,0.,0.,6.375910066796856,0,0,0,0,0,1,0
23.,686013.5,4.199693e6,1.,-2.012762812422405,1.,9.024613022047395,1.,0.,0.,6.373526107452132,0,0,0,0,0,0,0
25.,685816.3,4.199813e6,1.,-1.0110795476123473,0.,9.017726025696795,0.,0.,0.,6.357135391750335,0,0,0,0,0,0,0
27.,685180.2,4.199896e6,1.,-0.07749678462104433,1.,9.034795799461252,1.,1.,0.,6.240945356825904,0,0,0,1,0,0,1
28.,677513.,4.220803e6,1.,-0.19711037426739392,1.,9.144093726157257,0.,1.,0.,6.700417947119385,0,0,0,0,0,0,0
29.,682375.9,4.208761e6,1.,-1.8971199848858813,1.,8.172164452111904,0.,0.,0.,6.690188361219131,1,1,1,0,0,0,0
30.,682105.5,4.208972e6,1.,-2.120263536200091,1.,8.226305988015508,0.,0.,0.,6.7647509238871475,0,0,1,0,0,0,0
31.,682154.5,4.208968e6,1.,-3.912023005428146,0.,8.213923595622743,1.,1.,0.,6.763160978718463,0,0,0,0,0,0,0
32.,682094.9,4.209146e6,1.,-2.995732273553991,1.,8.218247926685745,1.,1.,0.,6.805543280863905,1,0,0,0,0,0,0
33.,682175.8,4.20941e6,1.,-2.3025850929940455,1.,8.183676582620658,0.,1.,0.,6.853442373390086,1,0,0,0,0,0,0
34.,682001.2,4.209858e6,1.,-0.9263410677276565,1.,8.216088098632316,1.,1.,0.,6.932509552437717,0,0,1,0,0,0,0
35.,682441.7,4.210055e6,1.,-3.6888794541139363,1.,8.0861025356691,1.,1.,0.,6.941403394195819,0,0,0,0,0,0,0
36.,681702.5,4.210202e6,1.,-0.8675005677047231,0.,8.290794347381356,1.,0.,0.,6.992733886244738,1,1,0,0,0,0,0
37.,680424.,4.210175e6,1.,-2.8134107167600364,0.,8.568836424568076,0.,1.,0.,6.947366927513958,1,0,0,0,0,0,0
38.,680155.9,4.210087e6,1.,-2.8134107167600364,0.,8.618666160346871,0.,0.,0.,6.92393153266087,1,0,0,0,0,0,0
39.,680087.4,4.21142e6,1.,-1.8971199848858813,0.,8.652947112393857,1.,1.,0.,6.898417417846545,1,0,1,0,0,0,0
40.,684599.2,4.209492e6,1.,-0.8675005677047231,0.,7.091742115095153,0.,1.,0.,6.773404450119329,0,0,1,0,0,0,0
41.,685570.4,4.208096e6,1.,-2.8134107167600364,0.,7.349873704738337,0.,1.,0.,7.062288098062208,0,0,0,0,0,0,0
42.,687560.5,4.205234e6,1.,-0.5108256237659907,1.,7.845416036592485,1.,0.,0.,6.624981543401955,1,1,0,1,1,0,1
43.,688235.1,4.206534e6,1.,-2.0402208285265546,1.,7.029972911706386,0.,1.,0.,6.718944834070907,0,1,0,0,0,0,0
44.,692210.8,4.208468e6,1.,0.09531017980432493,1.,7.85243908535751,0.,0.,0.,7.318320000621269,1,1,1,0,0,1,0
45.,692332.4,4.208341e6,1.,-0.818710403535291,1.,7.896924656268864,0.,0.,0.,7.2387607244970456,0,1,0,0,0,0,0
46.,692025.,4.208636e6,1.,-0.23306763251190302,1.,7.784057002639929,1.,0.,0.,7.365934594234273,1,1,1,0,1,0,0
47.,692062.1,4.208035e6,1.,-1.1419374134064835,1.,7.777373602657861,0.,0.,0.,7.190715912684264,1,1,1,0,0,0,0
48.,692102.2,4.207995e6,1.,-2.864704011147587,0.,7.791935956938058,0.,0.,0.,7.165752052698183,0,0,0,0,0,0,0
49.,689307.,4.210509e6,1.,-0.007830579115188564,1.,5.966146739123692,1.,0.,0.,6.871012549053795,1,1,1,0,0,0,0
50.,689150.1,4.210965e6,1.,-2.0024805005437076,1.,6.257667587882639,1.,0.,0.,6.915509497721918,1,1,1,0,0,0,0
51.,684013.2,4.211443e6,1.,0.23901690047049992,0.,7.545389749611823,0.,0.,0.,6.954519182123941,1,0,1,0,0,0,0
52.,683309.8,4.211427e6,1.,-0.10536051565782628,1.,7.849323818040561,1.,0.,0.,7.101847249058076,1,1,1,0,0,0,0
53.,696295.6,4.19427e6,1.,-0.15001623842106557,1.,8.104703468371108,1.,0.,0.,5.789654635146201,1,1,0,0,0,0,0
54.,693146.1,4.195596e6,1.,-1.9277853991967666,0.,8.659386957119413,0.,0.,0.,6.768615030054755,0,0,0,0,0,0,0
55.,689467.5,4.196749e6,1.,0.5306282510621704,1.,9.115260165725912,0.,0.,0.,6.755017564360652,0,0,1,0,0,0,0
56.,692798.1,4.195921e6,1.,-2.5257286443082556,0.,8.73761303680885,0.,0.,0.,6.82934677152187,0,0,0,0,0,0,0
57.,688154.6,4.197789e6,1.,1.888583653863595,1.,9.181838011503471,0.,0.,0.,6.377714276817538,0,0,0,0,0,0,0
58.,694638.2,4.197254e6,1.,1.4279160358107101,1.,8.79133399330135,0.,0.,0.,6.930746817053772,1,1,0,1,1,1,1
59.,693308.3,4.198199e6,1.,0.35065687161316933,1.,8.979164648964709,0.,0.,0.,6.737269719489627,0,0,0,0,0,0,0
60.,692882.5,4.197771e6,1.,0.688134638736401,1.,8.954544488386723,1.,0.,0.,6.838825125022424,1,1,0,0,0,0,0
61.,697747.5,4.205438e6,1.,-0.4118539735150626,1.,7.197435354096591,1.,0.,1.,6.798091220904208,1,1,0,1,0,0,0
62.,696950.5,4.205459e6,1.,-0.6875846799914382,0.,7.617759576608505,0.,1.,0.,7.008541155030814,1,1,1,0,0,0,0
63.,697079.5,4.205577e6,1.,1.0715836162801904,1.,7.534762657037537,0.,0.,0.,7.003686339035497,1,1,1,0,0,0,0
64.,697322.6,4.206334e6,1.,-0.2397354385571722,1.,7.216709486709457,1.,0.,1.,6.845093103831711,1,1,0,1,0,0,0
65.,697252.8,4.206406e6,1.,-0.9040558838058607,1.,7.192182058713246,0.,1.,0.,6.861983061775465,1,0,1,0,0,0,0
68.,697165.4,4.206662e6,1.,-1.3715594550196433,0.,7.075808863978387,0.,1.,0.,6.84453280208316,0,0,0,0,0,0,0
70.,696746.2,4.207196e6,1.,-3.036554268074246,0.,7.064759027791802,0.,0.,0.,6.901264488575347,0,0,0,0,0,0,0
71.,696705.1,4.207249e6,1.,-2.1222154399253363,1.,7.0825485693553,1.,1.,0.,6.901036014935621,0,0,0,0,0,0,0
72.,693961.9,4.206896e6,1.,0.19474407679251185,0.,8.279950715722526,0.,1.,0.,6.4532683884957995,0,1,0,0,0,0,0
73.,694187.8,4.206514e6,1.,0.5481214085096876,1.,8.246433786160365,0.,1.,0.,6.521239917515309,0,1,0,1,0,0,0
74.,694057.,4.206372e6,1.,-0.23229151664870049,1.,8.289288323000317,0.,1.,0.,6.528729949169558,0,1,0,0,0,0,0
75.,693607.7,4.20651e6,1.,-0.19255251501930065,1.,8.298290634359283,1.,1.,1.,6.493377587703883,1,1,0,0,1,0,0
76.,693645.3,4.20669e6,1.,-1.2683584482609334,1.,8.298041661371565,0.,1.,1.,6.476327325977701,0,0,0,0,0,0,0
77.,693555.2,4.206653e6,1.,-0.48985211359333386,1.,8.277666160851503,0.,0.,0.,6.4859487045311,0,1,1,0,0,0,0
