site,log_diam,GTR,GTR_age,forest_age,Ambl_serp,Ambl_subt,Barb_barb,Barb_hatc,Blep_tric,Braa_velu,Brau_eryt,Brau_sale,Bryu_mora,Call_cusp,Caly_inte,Camp_chrys,Camp_somm,Cera_purp,Clim_dend,Dicr_fusc,Dicr_mont,Dicr_poly,Dicr_scop,Eurh_pulc,Fiss_osmu,Hete_dimo,Homa_tric,Hylo_splen,Hypn_ando,Hypn_cupr,Hypn_pall,Isop_pulc,Lopc_hete,Lopc_mino,Lopz_obtu,Lopz_long,Metz_furc,Mniu_stel,Neck_penn,Orth_gymn,Orth_obtu,Orth__spec,Para_long,Plac_aspl,Plac_pore,Plam_cusp,Plat_curv,Plat_dent,Plat_laet,Pleu_schr,Pohl_nut,Ptid_cili,Ptid_pulc,Ptiu_cris,Pyla_poly,Radu_comp,Rhiz_punc,Rhod_rose,Rhyt_triq,Sani_unci,Sciu_oedi,Sciu_popu,Sciu_refl,Sciu_star
2,3.715082518512272,1,12.,0,0,0,0,0,0,0,25.,6.8,0,0,0,0,0,0,0,0,0,0,38.,0,0,0,0,20.,0,0,0,0,0,0,0,2.,0,0,0,0,0.1,22.9,0,0,0,0,0,0,0,5.,0,0,3.,0,0,0,0,0,0,28.,0,0,0,0
2,3.4299810926539824,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.,0,0,0,0,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,15.,0,0,0,0,0,0,0,267.5,0,0,12.,0,0,0,0,0,0,159.70000000000002,0,0,11.3,0
2,3.911515919498908,1,12.,0,0,0,0,0,0,0,0,734.5,0,0,0,0,66.,6.,15.,0,0,0,0,60.,0,0,0,10.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,0,0,66.,0,0,0,0
2,4.0647562669920205,1,12.,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,88.4,0,0,0,0,0,0,0,0,489.,0,0,0,190.,18.,16.,0,0,0
2,3.103765356199959,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,0,0,0,0,344.,0,0,0,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,87.5,0,0,0,0,0,0,21.,0,63.75,0,0,0,0,32.,1.,0,22.,0
2,2.767293119578746,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.,0,0,0,0,147.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.,0,0,0,0,0,0,8.,1.,0,5.,5.
2,2.7264711250584908,1,12.,0,0,0,0,0,0,0,0,17.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.,0,0,0,0,0,0,0,0,0,56.,0,0,353.,0
2,3.942866449382984,1,12.,0,0,0,0,0,0,100.8,0,99.2,0,0,0,0,0,0,0,0,0,0,7.,0,0,0,0,1357.,0,3.,0,0,0,0,0,0,0,0,0,0,2.1,2.4,0,0,0,0,0,0,0,0,0,0,35.,0,0,6.,0,0,0,40.,0,0,0,0
2,3.3326069286288065,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,184.5,0,5.,0,12.,0,0,0,0,126.4,0,0,56.,0,116.,0,0,0,0
2,3.45038996428519,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.,0,0,0,0,0,0,0,0,0,0,0,0,24.,24.,0,0,0,322.40000000000003,0,0,0,0,0,0,0,0,752.5,0,0,0,0,222.5,0,0,0,0
5,3.767924999886652,1,16.,0,0,0,0,0,0,0,0,186.6,0,0,0,0,36.,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,0,21.,0,0,0,0,0,0,0,0,0,0,0,0,24.,16.,0,0,0,557.2,0,0,3.,0
5,2.5688421808549076,1,16.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,74.,1.,0,0,0,4.,0,0,0,0,0,0,0,0,16.2,0,0,0,0,117.2,3.6,0,93.,0
5,3.707300378070217,1,16.,0,0,0,0,0,0,0,0,106.16,0,0,0,0,245.70000000000002,0,0,0,0,0,15.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,2.,0,0,0,204.8,0,0,0,3.,0,0,0,0,20.,0,0,0,0,1347.6,0,0,0,0
5,3.1990755360042837,1,16.,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,8.,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,636.,0,0,0,0,0,0,77.7,0,0,0,0,0,0,7.,3.6,0,9.,0
5,2.6164702298441624,1,16.,0,0,0,0,0,0,0,6.,212.6,3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.,0,0,0,0,8.,0,0,0,0,0,0,0,1.,0,0,0,0,6.,0,16.5,0,0,2.,0,0,0,3.,0,0,0,0,566.,61.9,0,45.,0
5,3.2979213706409163,1,16.,0,0,0,77.,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8,0,0,0,0,0,0,324.,0,0,35.44,8.64
5,4.163537811551804,1,16.,0,1.,0,0,0,0,0,2.5,552.9,78.,0,0,0,656.,0,0,0,0,0,0,0,0,0,0,20.,0,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591.,0,0,0,20.,0,0,0,0,1602.9,0,0,0,0,382.,0,60.,0,0
5,4.168476093192387,1,16.,0,1281.15,0,0,0,0,0,0,884.15,0,0,0,0,0,0,0,0,0,0,4.,0,0,0,0,516.,0,0,0,0,0,4.,0,0,0,0,0,0,81.,17.,0,0,0,258.4,0,0,0,0,0,0,0,0,1035.,0,0,0,0,1207.,0,0,115.2,0
6,3.460440300138691,1,8.,0,0,0,2.,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,42.,0,0,0,0,30.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4.,0,0,4.,0,0,0,0,0,0,15.,0,0,3.,13.5
6,2.966143978323911,1,8.,0,0,0,0,0,0,0,0,10.,0,0,0,0,7.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,3.,0,18.,0,0,0,0
6,2.381630638766761,1,8.,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.,0,0,0,0,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,2.
6,3.4899991023802355,1,8.,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,1.,0,0,0,0,0,0,0,35.,2.1,0,34.4,0,0,0,0,0,0,8.,0,0,0,0
6,3.131936233166655,1,8.,0,0,0,0,0,0,0,0,172.5,28.,0,0,0,67.5,0,0,0,0,0,60.,0,0,0,22.,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,61.,0,0,0,6.,0,0,0,0,0,0,0,0,0,42.,0,0,0,0
6,3.274110721947198,1,8.,0,0,0,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.2,0,0,0,0,0,0,0,0,0,756.4,0,0,0,0
3,3.518709208262667,1,11.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,227.,0,0,0,0,0,0,0,0,0,301.7,0,0,0,170.,0,0,0,0
3,3.0141531975102716,1,11.,0,0,0,0,0,0,0,0,549.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.,0,0,225.,0
3,2.7470904122612265,1,11.,0,0,0,0,0,0,0,0,4.8,0,0,0,0,4.875,0,0,0,0,0,5.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.2,13.3,0,60.9,19.5
3,2.7054177158606585,1,11.,0,0,0,0,0,0,0,0,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,48.1,0,86.4,21.6
